Date,Close/Last,Volume,Open,High,Low
10/27/2022,3.7067,39378,3.7146,3.721,3.6423
10/26/2022,3.6766,46531,3.5633,3.7302,3.5317
10/25/2022,3.5823,33619,3.6056,3.6161,3.5195
10/24/2022,3.5672,37398,3.544,3.6452,3.5222
10/21/2022,3.5532,43933,3.4995,3.582,3.4435
10/20/2022,3.4838,45672,3.5307,3.6305,3.4576
10/19/2022,3.5606,45476,3.6346,3.6524,3.5082
10/18/2022,3.6997,N/A,3.6997,3.6997,3.6997
10/17/2022,3.6873,38114,3.6134,3.7074,3.6031
10/14/2022,3.9802,34720,4.084,4.1042,3.9126
10/13/2022,3.9148,N/A,3.9148,3.9148,3.9148
10/12/2022,3.9328,52164,3.9032,4.0707,3.8601
10/11/2022,3.9308,45193,3.8742,3.9433,3.6941
10/10/2022,3.9147,42606,4.0598,4.0859,3.8595
10/07/2022,4.0385,37959,3.8787,4.0506,3.9857
10/06/2022,3.8649,52488,3.6951,3.8883,3.6044
10/05/2022,3.7014,55476,3.5306,3.7174,3.486
10/04/2022,3.5216,48512,3.3691,3.5455,3.4942
10/03/2022,3.3691,43024,3.265,3.3795,3.2697
09/30/2022,3.2216,36975,3.2899,3.2459,3.2135
09/29/2022,3.2952,41555,3.3332,3.351,3.2784
09/28/2022,3.3372,64193,3.1579,3.3434,3.2388
09/27/2022,3.1629,48222,3.065,3.1941,3.1137
09/26/2022,3.0464,44568,3.1614,3.0693,3.0333
09/23/2022,3.1575,45233,3.3224,3.1921,3.1281
09/22/2022,3.3207,50336,3.256,3.3487,3.3029
09/21/2022,3.2615,51167,3.3042,3.2925,3.2475
09/20/2022,3.304,49830,3.2683,3.3095,3.2819
09/19/2022,3.2588,48254,3.1402,3.2698,3.0925
09/16/2022,3.1725,29401,3.2096,3.2699,3.1573
09/15/2022,3.2052,54453,3.379,3.2481,3.1749
09/14/2022,3.3789,51887,3.5529,3.4375,3.3569
09/13/2022,3.5413,34261,3.6097,3.5675,3.5264
09/12/2022,3.6031,29741,3.5743,3.6986,3.5949
09/09/2022,3.5787,30039,3.5366,3.6108,3.5201
09/08/2022,3.5401,33825,3.5615,3.5591,3.529
09/07/2022,3.586,32026,3.5738,3.6234,3.5361
09/06/2022,3.5738,39798,3.5852,3.592,3.5622
09/02/2022,3.578,41303,3.5575,3.6827,3.5172
09/01/2022,3.5612,47847,3.6511,3.653,3.4433
08/31/2022,3.6674,32730,3.7889,3.7062,3.6176
08/30/2022,3.7778,46069,3.8643,3.7959,3.6841
08/29/2022,3.8516,42208,3.9262,3.9493,3.8245
08/26/2022,3.9352,33100,3.8912,3.9728,3.88
08/25/2022,3.8823,46244,3.9845,4.0392,3.8675
08/24/2022,3.9649,44300,3.7996,3.9825,3.7739
08/23/2022,3.8045,38307,3.7352,3.827,3.7155
08/22/2022,3.7384,39453,3.66,3.7422,3.6078
08/19/2022,3.6609,33992,3.6086,3.6954,3.5266
08/18/2022,3.6033,38582,3.5597,3.6385,3.5375
