Date,Close/Last,Volume,Open,High,Low
10/27/2022,20.39,586,20.49,20.88,20.35
10/26/2022,20.47,398,20.8,21.09,20.43
10/25/2022,20.85,198,21.06,21.27,20.8
10/24/2022,21.17,242,21.05,21.3,21
10/21/2022,21.14,266,21.26,21.35,20.96
10/20/2022,21.29,799,21.3,21.76,21.1
10/19/2022,21.3,370,20.75,21.32,20.7
10/18/2022,20.7,480,20.57,20.8,20.46
10/17/2022,20.56,364,20.29,20.7,20.28
10/14/2022,20.41,408,21.16,21.22,20.41
10/13/2022,21.16,235,21.37,21.51,21.06
10/12/2022,21.26,435,21.02,21.38,20.8
10/11/2022,21.13,338,21.47,21.49,21.01
10/10/2022,21.4,355,21.89,22.15,21.4
10/07/2022,21.85,301,21.97,22.2,21.8
10/06/2022,21.94,261,21.7,22.05,21.63
10/05/2022,21.84,585,21.82,22.2,21.7
10/04/2022,21.8,407,21.36,21.89,21.32
10/03/2022,22.2,487,21.6,22.39,21.6
09/30/2022,21.75,553,21.85,22.08,21.55
09/29/2022,21.94,795,21.89,22.2,21.78
09/28/2022,21.85,756,21.3,21.89,21.3
09/27/2022,21.29,438,20.88,21.38,20.88
09/26/2022,20.82,461,20.91,21.2,20.57
09/23/2022,20.9,567,21.55,21.63,20.78
09/22/2022,21.46,300,21.65,21.71,21.41
09/21/2022,21.64,632,21.94,22.06,21.45
09/20/2022,21.94,559,21.33,21.97,21.04
09/19/2022,21.54,453,21.45,21.9,21.24
09/16/2022,21.45,635,21.38,21.48,20.78
09/15/2022,21.38,348,21.61,21.75,21.2
09/14/2022,21.82,515,21.34,21.82,21.33
09/13/2022,21.61,912,21.75,22.05,21.44
09/12/2022,21.67,645,20.93,21.68,20.93
09/09/2022,20.93,382,20.59,21,20.49
09/08/2022,20.59,462,20.33,20.82,20.33
09/07/2022,20.34,321,20.01,20.38,19.76
09/06/2022,20.09,244,20.19,20.32,19.87
09/02/2022,19.94,354,19.53,20.32,19.53
09/01/2022,19.52,620,19.84,20.07,19.28
08/31/2022,19.89,636,20.1,20.1,19.84
08/30/2022,20.1,619,20.28,20.41,19.67
08/29/2022,20.41,235,20.76,20.81,20.26
08/26/2022,20.24,295,19.95,20.24,19.94
08/25/2022,20.01,512,20,20.19,19.9
08/24/2022,19.99,408,20.51,20.54,19.8
08/23/2022,20.2,1027,20.13,20.62,19.91
08/22/2022,19.96,358,19.67,20.15,19.6
08/19/2022,19.73,504,20.06,20.26,19.64
08/18/2022,20.26,314,20.61,20.66,20.16
08/17/2022,20.67,602,20.87,21,20.4
08/16/2022,20.87,921,20.35,21.1,20.27
08/15/2022,20.35,452,19.9,20.43,19.62
08/12/2022,19.8,220,20.05,20.08,19.59
08/11/2022,20.1,322,20.4,20.42,19.95
08/10/2022,20.21,463,19.87,20.47,19.87
08/09/2022,19.87,277,19.52,19.94,19.4
08/08/2022,19.4,233,19.55,19.58,19.05
08/05/2022,19.3,335,19.48,19.55,19.07
08/04/2022,19.48,367,19.8,19.88,19.38
08/03/2022,19.9,547,20.4,20.4,19.82
08/02/2022,20.4,342,20.4,20.5,20.14
08/01/2022,20.5,454,20.27,20.82,20.13
07/29/2022,20.31,305,19.8,20.5,19.8
07/28/2022,19.83,790,20.21,20.27,19.69
07/27/2022,20.32,363,20.92,20.99,20.2
07/26/2022,21.17,360,20.82,21.2,20.73
07/25/2022,20.7,258,20.3,20.77,20.25
07/22/2022,20.23,248,20.33,20.33,20.09
07/21/2022,20.36,382,20.7,20.73,20.18
07/20/2022,20.69,207,20.46,20.73,20.34
07/19/2022,20.46,124,20.29,20.47,20.28
07/18/2022,20.29,761,20.16,20.53,20.16
07/15/2022,20.16,600,20.05,20.36,19.94
07/14/2022,20.36,605,21.17,21.17,20.13
07/13/2022,20.95,571,21.26,21.37,20.95
07/12/2022,21.26,272,21.68,21.7,21.15
07/11/2022,22.74,164,22.8,22.85,22.66
07/08/2022,22.79,176,22.64,22.79,22.64
07/07/2022,22.64,411,22.39,22.74,22.32
07/06/2022,22.39,362,22.05,22.46,22.03
07/05/2022,22.1,463,22.42,22.42,22.05
07/01/2022,22.42,288,22.67,22.67,22.11
06/30/2022,22.53,324,22.8,22.84,22.52
06/29/2022,22.8,805,22.68,22.82,22.65
06/28/2022,22.62,892,22.47,22.75,22.3
06/27/2022,22.43,829,22.64,22.74,22.41
06/24/2022,22.78,518,23,23.2,22.6
06/23/2022,23.46,512,23.58,23.58,22.93
06/22/2022,23.55,466,23.35,23.62,23.34
06/21/2022,23.27,585,23.57,23.57,23.24
06/17/2022,23.56,589,23.66,23.75,23.48
06/16/2022,23.77,824,24.21,24.25,23.57
06/15/2022,24.26,489,24.18,24.43,24.04
06/14/2022,24.25,741,24.43,24.63,24.17
06/13/2022,24.43,555,24.62,24.82,24.27
06/10/2022,24.62,618,24.88,24.95,24.57
06/09/2022,24.95,425,25.01,25.13,24.81
06/08/2022,25.01,293,25.16,25.19,24.95
06/07/2022,24.43,122,24.42,24.53,24.42
06/06/2022,24.46,198,24.37,24.5,24.33
06/03/2022,24.33,158,24.4,24.45,24.29
06/02/2022,24.32,278,24.49,24.56,24.27
06/01/2022,25.2,12,25.2,25.2,25.19
05/31/2022,25.2,129,25.19,25.2,25.18
05/27/2022,25.19,145,25.18,25.19,25.17
05/26/2022,25.19,49,25.18,25.19,25.17
05/25/2022,25.11,345,25.09,25.19,25.08
05/24/2022,25.08,145,25.07,25.08,25.07
05/23/2022,25.07,96,25.11,25.11,25.07
05/20/2022,25.09,113,25.11,25.12,25.09
05/19/2022,25.12,191,25.08,25.13,25.07
05/18/2022,24.98,651,25,25.09,24.96
05/17/2022,25.02,249,24.99,25.02,24.96
05/16/2022,24.99,296,24.94,25,24.9
05/13/2022,24.97,146,24.95,24.99,24.92
05/12/2022,24.95,103,24.99,25.04,24.92
05/11/2022,24.89,187,24.7,24.95,24.67
05/10/2022,24.66,493,24.7,24.79,24.54
05/09/2022,24.77,214,24.95,25.02,24.71
05/06/2022,25.01,107,24.92,25.05,24.92
05/05/2022,24.94,465,24.81,25.09,24.77
05/04/2022,24.72,330,24.3,24.86,24.24
05/03/2022,24.21,320,24.15,24.26,24.01
05/02/2022,24.23,341,24.33,24.57,24.15
04/29/2022,24.47,321,24.59,24.82,24.45
04/28/2022,24.6,403,24.12,24.8,24.11
04/27/2022,24.31,458,24.7,24.78,24.07
04/26/2022,24.7,434,24.76,25,24.62
04/25/2022,24.68,469,24.77,25.03,24.6
04/22/2022,24.55,763,24.57,24.75,24.45
04/21/2022,24.57,670,24.09,24.64,23.88
04/20/2022,24.17,1117,24.39,24.44,23.7
04/19/2022,24.38,586,24.92,25.08,24.38
04/18/2022,25.13,460,25.38,25.79,24.97
04/14/2022,25.46,384,25.17,25.55,25.04
04/13/2022,25.17,316,24.85,25.18,24.81
04/12/2022,24.81,329,24.89,24.98,24.78
04/11/2022,24.93,349,24.92,25.08,24.85
04/08/2022,24.85,386,24.67,24.94,24.57
04/07/2022,24.7,408,24.85,24.88,24.55
04/06/2022,24.85,355,24.43,24.88,24.22
04/05/2022,24.4,376,23.99,24.44,23.99
04/04/2022,23.99,413,24.46,24.46,23.92
04/01/2022,24.55,522,24.45,24.96,24.29
03/31/2022,24.47,432,23.91,24.5,23.85
03/30/2022,23.9,475,23.41,24.01,23.31
03/29/2022,23.5,788,24.29,24.36,23.29
03/28/2022,24.16,405,25,25,24.11
03/25/2022,24.3,323,23.96,24.47,23.75
03/24/2022,24.5,852,24.23,24.7,24.1
03/23/2022,24.21,507,24.27,24.35,23.84
03/22/2022,24.31,568,23.74,24.72,23.69
03/21/2022,23.74,424,23.49,23.82,23.49
03/18/2022,23.43,270,23.25,23.58,23.17
03/17/2022,23.23,431,22.91,23.33,22.85
03/16/2022,22.88,483,23.22,23.41,22.79
03/15/2022,23.41,390,23.99,23.99,23.15
03/14/2022,23.9,253,23.83,24.24,23.83
03/11/2022,22.35,234,22.4,22.41,22.32
03/10/2022,22.42,433,22.45,22.5,22.36
03/09/2022,22.54,217,22.64,22.68,22.46
03/08/2022,22.69,198,22.63,22.73,22.56
03/07/2022,22.61,178,22.6,22.66,22.55
03/04/2022,22.55,320,22.39,22.69,22.3
03/03/2022,22.43,276,22.19,22.43,22.12
03/02/2022,22.24,122,22.21,22.34,22.05
03/01/2022,22.26,251,22.21,22.37,22.12
02/28/2022,22.05,319,21.99,22.49,21.83
02/25/2022,21.9,486,22.61,22.61,21.82
02/24/2022,22.51,407,22.28,22.77,22.25
02/23/2022,22.02,305,22.46,22.59,21.94
02/22/2022,22.46,389,22.4,22.81,22.35
02/18/2022,22.4,226,22.35,22.59,22.3
02/17/2022,22.35,369,22.07,22.63,21.88
02/16/2022,22.31,480,22.83,22.93,22.22
02/15/2022,22.97,641,22.79,23.03,22.6
02/14/2022,22.81,848,22.6,22.86,22.2
02/11/2022,22.68,851,22.1,22.9,22.07
02/10/2022,22.11,276,22.15,22.15,21.88
02/09/2022,22.04,420,21.55,22.17,21.31
02/08/2022,21.68,494,21.93,22.06,21.51
02/07/2022,21.93,394,21.7,21.97,21.66
02/04/2022,21.66,288,21.27,21.73,21.25
02/03/2022,21.31,228,21.45,21.48,21.16
02/02/2022,21.51,258,21.4,21.62,21.22
02/01/2022,21.35,268,21.52,21.67,21.1
01/31/2022,20.35,390,20.24,20.36,20.09
01/28/2022,20.19,556,20.09,20.25,19.75
01/27/2022,20.69,518,20.39,20.91,20.19
01/26/2022,20.17,828,20.76,20.76,20.07
01/25/2022,19.91,513,20.39,20.45,19.88
01/24/2022,20.45,469,20.55,20.82,20.43
01/21/2022,20.54,512,20.83,20.93,20.5
01/20/2022,20.86,480,21.12,21.15,20.81
01/19/2022,21.31,531,21.62,21.85,21.25
01/18/2022,21.62,445,22.08,22.44,21.55
01/14/2022,22.08,273,22.2,22.2,21.88
01/13/2022,22.2,625,22.45,22.95,21.88
01/12/2022,22.63,569,21.83,22.82,21.83
01/11/2022,22.2,631,21.63,22.3,21.52
01/10/2022,21.55,265,21.43,21.74,21.43
01/07/2022,21.43,505,21.5,21.95,21.35
01/06/2022,21.67,442,22.15,22.25,21.6
01/05/2022,22.35,772,22.1,22.45,22.1
01/04/2022,21.79,366,21.04,21.79,21.01
01/03/2022,21.04,259,20.78,21.13,20.65
12/31/2021,20.72,156,20.75,20.75,20.64
12/30/2021,20.83,335,20.45,20.9,20.43
12/29/2021,20.45,253,20.27,20.5,20.17
12/28/2021,20.3,137,20.41,20.48,20.23
12/27/2021,20.2,163,19.95,20.3,19.84
12/23/2021,18.43,133,18.42,18.44,18.41
12/22/2021,18.45,104,18.45,18.48,18.42
12/21/2021,18.47,36,18.47,18.47,18.45
12/20/2021,18.46,125,18.47,18.48,18.45
12/17/2021,18.48,43,18.49,18.51,18.47
12/16/2021,18.49,218,18.48,18.54,18.48
12/15/2021,18.57,71,18.6,18.61,18.48
12/14/2021,18.61,75,18.64,18.64,18.51
12/13/2021,18.62,114,18.6,18.62,18.56
12/10/2021,18.6,114,18.58,18.61,18.55
12/09/2021,18.61,175,18.66,18.7,18.56
12/08/2021,18.76,140,18.7,18.83,18.6
12/07/2021,18.71,207,18.74,18.77,18.65
12/06/2021,18.66,408,18.65,18.78,18.5
12/03/2021,18.6,348,18.4,18.61,18.3
12/02/2021,18.33,263,18.1,18.37,18.05
12/01/2021,18.04,360,18.01,18.27,17.98
11/30/2021,18.01,405,18.17,18.26,17.9
11/29/2021,18.16,359,18.32,18.32,17.9
11/25/2021,18.31,N/A,18.31,18.31,18.31
11/24/2021,18.32,241,18.33,18.33,18.14
11/23/2021,18.33,477,18.23,18.44,18.07
11/22/2021,18.42,611,18.4,18.64,18.28
11/19/2021,18.57,1300,17.7,18.66,17.7
11/18/2021,17.48,574,17.19,17.77,17.15
11/17/2021,17.15,563,17.25,17.38,17.12
11/16/2021,17.21,464,17.49,17.57,17.07
11/15/2021,17.49,603,17.5,17.67,17.41
11/12/2021,17.62,431,18.14,18.25,17.43
11/11/2021,18.08,297,17.96,18.14,17.8
11/10/2021,18.03,345,18.1,18.2,17.84
11/09/2021,18.11,625,17.7,18.12,17.51
11/08/2021,17.68,663,17.56,17.86,17.33
11/05/2021,17.59,357,17.84,17.84,17.53
11/04/2021,17.81,535,17.97,18.27,17.77
11/03/2021,18.08,393,18.26,18.28,18.07
11/02/2021,18.31,429,18.65,18.84,18.25
11/01/2021,18.68,470,18.54,19.06,18.49
10/29/2021,18.5,404,18.55,18.67,18.42
10/28/2021,18.55,479,18.85,18.9,18.52
10/27/2021,18.84,318,18.74,18.99,18.65
10/26/2021,18.74,673,19.29,19.37,18.62
10/25/2021,19.37,340,19.61,19.62,19.27
10/22/2021,19.61,455,19.85,19.85,19.48
10/21/2021,19.91,656,19.38,19.99,19.33
10/20/2021,19.32,352,19.22,19.45,19.17
10/19/2021,19.22,270,19.16,19.31,19.06
10/18/2021,19.16,608,19.39,19.41,19.13
10/15/2021,19.28,400,19.35,19.48,19.23
10/14/2021,19.36,859,18.85,19.57,18.85
10/13/2021,18.85,379,18.74,18.9,18.69
10/12/2021,18.81,511,18.82,18.91,18.78
10/11/2021,18.82,465,18.77,19,18.62
10/08/2021,18.77,225,18.74,18.82,18.59
10/07/2021,18.74,519,18.57,18.82,18.57
10/06/2021,18.59,460,18.55,18.71,18.55
10/05/2021,18.56,470,18.39,18.58,18.35
10/04/2021,18.42,446,18.25,18.48,18.21
10/01/2021,18.2,761,18.28,18.29,17.91
09/30/2021,18.26,773,17.85,18.37,17.85
09/29/2021,17.88,390,17.54,17.91,17.54
09/28/2021,17.54,420,17.3,17.54,17.28
09/27/2021,17.28,270,17,17.31,17
09/24/2021,16.96,102,16.92,17.06,16.92
09/23/2021,17.27,357,17.35,17.35,17.18
09/22/2021,17.35,766,17.42,17.6,17.21
09/21/2021,17.42,591,17.14,17.55,17.1
09/20/2021,17.1,312,17.26,17.29,16.96
09/17/2021,17.18,171,17.15,17.25,17.11
09/16/2021,17.15,232,17.27,17.3,17.13
09/15/2021,17.15,572,17.27,17.41,17.13
09/14/2021,17.27,339,17.45,17.47,17.2
09/13/2021,17.5,379,17.38,17.6,17.36
09/10/2021,17.34,248,17.5,17.55,17.25
09/09/2021,17.55,314,17.6,17.69,17.38
09/08/2021,17.6,310,17.35,17.61,17.32
09/07/2021,17.45,323,16.75,17.56,16.75
09/03/2021,16.85,121,16.78,16.94,16.75
09/02/2021,16.81,262,16.79,16.94,16.7
09/01/2021,16.84,317,16.9,17.08,16.73
08/31/2021,16.9,499,16.69,16.94,16.59
08/30/2021,16.66,400,16.56,16.72,16.5
08/27/2021,16.54,477,16.97,16.97,16.52
08/26/2021,17.07,508,17.37,17.4,17.02
08/25/2021,17.36,382,17.41,17.48,17.29
08/24/2021,17.38,381,17.45,17.74,17.37
08/23/2021,17.45,642,17.13,17.48,17.1
08/20/2021,17.05,513,17.16,17.33,17
08/19/2021,17.11,635,17.13,17.42,17.06
08/18/2021,17.13,413,17.17,17.28,17.03
08/17/2021,17.31,416,17.58,17.59,17.18
08/16/2021,17.6,832,17.66,17.95,17.28
08/13/2021,17.62,623,16.84,17.67,16.75
08/12/2021,16.92,206,17.24,17.25,16.84
08/11/2021,17.24,646,17.37,17.75,17.01
08/10/2021,17.28,435,16.59,17.33,16.58
08/09/2021,16.58,280,16.43,16.79,16.16
08/06/2021,16.49,284,16.45,16.7,16.42
08/05/2021,16.4,315,16.35,16.56,16.18
08/04/2021,16.04,296,15.91,16.44,15.89
08/03/2021,15.93,330,16.11,16.21,15.75
08/02/2021,16.15,625,16.39,16.46,16.08
07/30/2021,16.36,295,16.26,16.36,16.13
07/29/2021,16.26,442,16.5,16.5,16.2
07/28/2021,16.5,352,16.65,16.66,16.46
07/27/2021,16.66,236,16.85,16.85,16.59
07/26/2021,16.78,181,16.95,16.95,16.76
07/23/2021,16.91,145,17.04,17.04,16.8
07/22/2021,16.39,417,16.05,16.5,16.05
07/21/2021,16.1,776,16.6,16.6,16.09
07/20/2021,16.29,563,16.67,16.79,16.28
07/19/2021,16.67,498,16.81,16.85,16.49
07/16/2021,16.79,431,16.97,16.97,16.61
07/15/2021,16.98,467,17.82,17.82,16.98
07/14/2021,17.73,495,18.08,18.45,17.62
07/13/2021,18.35,263,18.08,18.38,18
07/12/2021,18.03,99,17.71,18.07,17.71
07/09/2021,17.71,307,17.64,18.21,17.58
07/08/2021,17.78,477,17.28,17.91,17.24
07/07/2021,16.92,330,16.7,17,16.6
07/06/2021,16.74,220,16.81,16.84,16.66
07/02/2021,16.79,273,16.77,16.88,16.66
07/01/2021,16.77,406,16.97,16.98,16.73
06/30/2021,16.91,278,16.92,17.05,16.87
06/29/2021,16.97,392,16.83,17.25,16.83
06/28/2021,16.78,306,16.63,16.94,16.58
06/25/2021,16.65,259,16.65,16.84,16.59
06/24/2021,16.57,236,16.51,16.62,16.49
06/23/2021,16.6,487,16.5,16.87,16.5
06/22/2021,17.33,20,17.34,17.34,17.29
06/21/2021,17.31,28,17.31,17.35,17.31
06/18/2021,17.33,47,17.31,17.33,17.29
06/17/2021,17.29,89,17.33,17.38,17.29
06/16/2021,17.32,42,17.26,17.32,17.24
06/15/2021,17.25,67,17.24,17.29,17.22
06/14/2021,17.27,68,17.26,17.29,17.24
06/11/2021,17.25,52,17.21,17.26,17.18
06/10/2021,17.2,240,17.19,17.25,17.17
06/09/2021,17.07,300,17.07,17.19,17.05
06/08/2021,17.02,181,17.11,17.13,17.01
06/07/2021,17.15,148,17.3,17.27,17.12
06/04/2021,17.31,205,17.34,17.37,17.27
06/03/2021,17.31,251,17.32,17.38,17.29
06/02/2021,17.32,238,17.29,17.47,17.26
06/01/2021,17.28,215,17.29,17.44,17.23
05/28/2021,17.24,441,17.65,17.65,17.23
05/27/2021,17.65,251,17.89,17.98,17.51
05/26/2021,17.98,467,17.82,18.02,17.71
05/25/2021,17.71,240,17.63,17.74,17.51
05/24/2021,17.55,428,18.01,18.06,17.5
05/21/2021,18.13,239,18.38,18.47,18.07
05/20/2021,18.34,328,18.3,18.41,18.2
05/19/2021,18.3,524,18.47,18.47,18.25
05/18/2021,18.48,485,18.95,18.88,18.41
05/17/2021,18.92,431,19.41,19.46,18.88
05/14/2021,18.88,315,18.98,18.99,18.87
05/13/2021,19.03,225,19.05,19.1,18.94
05/12/2021,19.07,163,18.96,19.17,18.93
05/11/2021,18.89,93,18.9,19,18.82
05/10/2021,18.86,112,18.89,18.96,18.83
05/07/2021,18.82,223,18.85,18.92,18.71
05/06/2021,18.9,256,19.15,19.17,18.87
05/05/2021,19.15,210,19.02,19.2,18.98
05/04/2021,19.07,160,19.04,19.07,18.87
05/03/2021,19.04,258,19.18,19.35,18.95
04/30/2021,19.18,219,19.14,19.31,19.09
04/29/2021,19.18,213,19.15,19.31,19.16
04/28/2021,19.22,255,19.2,19.32,19.1
04/27/2021,19.2,317,19.28,19.36,18.98
04/26/2021,19.28,260,18.87,19.36,18.87
04/23/2021,19,309,18.56,19.13,18.45
04/22/2021,18.68,482,19.1,19.16,18.54
04/21/2021,19.16,406,19.3,19.39,18.98
04/20/2021,19.32,349,19.05,19.34,18.89
04/19/2021,19.16,276,19.04,19.39,18.82
04/16/2021,19.04,340,18.62,19.11,18.62
04/15/2021,18.5,461,18.83,18.93,18.34
04/14/2021,18.83,389,19.47,19.51,18.71
