Date,Close/Last,Volume,Open,High,Low
10/27/2022,358.5,215,360.5,362.5,350.75
10/26/2022,356.5,286,356.5,360,347.25
10/25/2022,357.5,588,366.75,366.75,338.5
10/24/2022,362.25,552,380.5,384.25,355.5
10/21/2022,376.25,275,381.25,381.25,371
10/20/2022,375.5,344,374,385.25,373.25
10/19/2022,374.75,531,387.5,392.5,373
10/18/2022,387.25,348,390,393.25,382.75
10/17/2022,389,217,399.75,402.5,386.25
10/14/2022,397.75,345,407.5,408.75,392
10/13/2022,407.5,483,401,410,399.5
10/12/2022,402.5,382,393.75,404.5,393.75
10/11/2022,392.25,192,386,398.75,385.25
10/10/2022,384.75,298,381.5,394.75,381.25
10/07/2022,379,342,399.75,400,377.25
10/06/2022,397,213,399,405,391.5
10/05/2022,402.5,130,403.5,404.25,396
10/04/2022,403.5,218,399,406.5,398
10/03/2022,400.5,388,388,401.75,387.75
09/30/2022,390,358,383.75,400,382
09/29/2022,382.75,182,382.5,391.75,380.75
09/28/2022,378,383,374.75,383.5,370.25
09/27/2022,370,357,376.5,387.75,369
09/26/2022,378.5,429,398.75,399,376.5
09/23/2022,395,430,417.5,417.5,392.25
09/22/2022,417,226,418,419.75,411
09/21/2022,417.75,279,415,420,410.25
09/20/2022,413.25,298,401.25,417,401.25
09/19/2022,402.25,205,396.25,406,396.25
09/16/2022,396,174,397.5,399.75,390.5
09/15/2022,394.25,270,402.5,404.25,384
09/14/2022,398.5,201,400.75,408.5,395.5
09/13/2022,402,368,409.5,410,392.75
09/12/2022,410,482,396,410,391
09/09/2022,393.25,252,384.5,395.5,381
09/08/2022,376.25,216,383,389,375
09/07/2022,376.5,290,384.25,395,373
09/06/2022,383.75,328,389.25,402.5,377.5
09/02/2022,379.75,354,375,386.75,364
09/01/2022,377,365,394.25,397,372
08/31/2022,395.75,220,398,398,388
08/30/2022,398,325,409.5,413.5,393
08/29/2022,411.75,259,402.5,418.5,400.25
08/26/2022,402.5,226,405.25,406,396
08/25/2022,408.25,186,418.5,424,404
08/24/2022,418.25,381,408.75,419.75,405.25
08/23/2022,408,421,393.5,409.75,391
08/22/2022,389.5,205,385.5,394.5,384
08/19/2022,387.25,190,375,392,370
08/18/2022,381,348,404,404,375
08/17/2022,404.25,85,409,413.5,401.5
08/16/2022,409.25,128,424.25,425.25,404
08/15/2022,426.75,129,427,433.75,407.25
08/12/2022,427.5,205,421.25,435.25,420.75
08/11/2022,424,356,407.5,428,401.5
08/10/2022,405.75,121,415.75,417.75,404.25
08/09/2022,416.25,219,417,429.25,414.25
08/08/2022,424.5,242,410.75,428.75,404
08/05/2022,405.75,178,400.5,414.75,396
08/04/2022,399.25,217,401.25,403,391
08/03/2022,394.75,332,411.5,428,393.5
08/02/2022,416,163,432.75,434.75,405.5
08/01/2022,435.25,318,443,443,428
07/29/2022,443,355,437.25,450,434
07/28/2022,438,251,433.75,440,428.5
07/27/2022,429.5,178,432.75,443,425
07/26/2022,428.5,167,418,436,418
07/25/2022,418.25,230,426.25,439,413.25
07/22/2022,431,149,453,453.25,418
07/21/2022,454.5,176,456,458,442.75
07/20/2022,455,108,462.5,467,453
07/19/2022,461.75,148,466,469,458
07/18/2022,463,130,456.5,476.25,449.75
07/15/2022,443.75,85,444.75,462.25,438.25
07/14/2022,443,117,432.75,448.5,429
07/13/2022,436,166,436,455.5,430
07/12/2022,435.75,135,467.75,470,429
07/11/2022,468,101,471.25,479,461.5
07/08/2022,468.5,143,444,470.5,444
07/07/2022,442.25,105,435,446.25,432.25
07/06/2022,433.75,213,444,458,429
07/05/2022,446.75,191,486,487.75,444
07/01/2022,488,140,503,503,485.5
06/30/2022,502,153,505,505.75,480.75
06/29/2022,508,133,501.75,511.75,500
06/28/2022,503.5,277,497,514,491.5
06/27/2022,497,204,524,525.75,485.5
06/24/2022,518.25,332,538.5,541.5,512.75
06/23/2022,538.5,328,584.75,584.75,537.5
06/22/2022,621.75,331,632,633.25,615
06/21/2022,636.5,255,658.25,659.5,632.25
06/17/2022,664.5,138,658.25,667.75,655.25
06/16/2022,658.25,74,663,663,655.25
06/15/2022,661.25,206,661.5,674.5,656.25
06/14/2022,666.75,259,662.5,670.5,653
06/13/2022,659.75,269,650,661.75,631.5
06/10/2022,651.25,121,669.75,670,649
06/09/2022,667.5,109,661.75,677,657.5
06/08/2022,661.5,216,668.25,668.25,650.5
06/07/2022,668,226,680.75,694.75,665.25
06/06/2022,680.25,122,690,690.75,671.25
06/03/2022,690.5,224,655,692.5,654
