Date,Close/Last,Volume,Open,High,Low
10/27/2022,1938.2,1628,1968.5,1992.5,1904
10/26/2022,1960.5,1685,1922.5,1973.5,1922.5
10/25/2022,1918.8,2764,1970,1997,1869.5
10/24/2022,1967.8,1592,2017,2064.5,1960
10/21/2022,2005.5,1977,2049,2064,1952
10/20/2022,2079.6,1840,1996.5,2094.5,1970.5
10/19/2022,1995.5,1422,2018.5,2028.5,1951
10/18/2022,2013.9,995,1999,2037.5,1997.5
10/17/2022,1999.9,1547,1990,2040,1983
10/14/2022,1997.3,1709,2114,2139.5,1989
10/13/2022,2117.2,2184,2135,2160,2012
10/12/2022,2136.4,1414,2133,2186.5,2106.5
10/11/2022,2150.4,1273,2188,2203.5,2115
10/10/2022,2167.9,1306,2193,2270,2152
10/07/2022,2191.3,1244,2270,2304,2178.5
10/06/2022,2275.5,1137,2256.5,2314.5,2249.5
10/05/2022,2255.9,2085,2333.5,2339,2202
10/04/2022,2330.2,2187,2229.5,2360,2227
10/03/2022,2232.2,1581,2185,2264.5,2167.5
09/30/2022,2182.2,1345,2215,2242,2167.5
09/29/2022,2211.1,2301,2151,2260,2117
09/28/2022,2169.1,1668,2076.5,2173,2042.5
09/27/2022,2090.4,1489,2041.5,2130,2023
09/26/2022,2049,1191,2068.5,2098,2025
09/23/2022,2070.5,1667,2173,2174,2061.5
09/22/2022,2175,1049,2145.5,2194,2084
09/21/2022,2123.5,1291,2162,2209,2112
09/20/2022,2170.5,1373,2222,2226,2114
09/19/2022,2220.7,1174,2135.5,2239.5,2100
09/16/2022,2112.7,898,2142,2148.5,2080
09/15/2022,2146.1,871,2166.5,2182,2124
09/14/2022,2172.7,1341,2099,2177.5,2069.5
09/13/2022,2111.1,2140,2268.5,2277.5,2090
09/12/2022,2274.6,1561,2188.5,2280,2160.5
09/09/2022,2177.6,1277,2136,2189,2095
09/08/2022,2147,2051,2030.5,2180,2010.5
09/07/2022,2022.8,1370,1982.5,2045,1963
09/06/2022,1973.2,2044,2002,2066,1943
09/02/2022,2026.1,1419,1997,2055,1995
09/01/2022,1996.3,1579,2083,2098,1988
08/31/2022,2078.9,1257,2090,2137.5,2057
08/30/2022,2087.8,1547,2148.5,2168,2060
