Date,Close/Last,Volume,Open,High,Low
10/27/2022,967.4,19355,959.4,974.1,948.3
10/26/2022,962.5,22517,920.3,965.1,915.8
10/25/2022,919.7,15519,930.1,933.4,907.6
10/24/2022,926.6,22065,935.1,949.8,922.9
10/21/2022,933.9,24315,915.2,937.5,891.4
10/20/2022,915.1,20915,881.5,918.9,875
10/19/2022,881.1,14651,907.5,911.6,880.1
10/18/2022,907.3,15047,915,925.1,902.4
10/17/2022,913.6,15631,896.9,922.5,896.5
10/14/2022,894.9,18497,900,912.4,891.1
10/13/2022,896.4,27059,882.9,903.1,861.9
10/12/2022,881,15324,889.9,897.8,878.3
10/11/2022,899.1,19125,900.6,906.2,884.1
10/10/2022,895.8,16098,914.3,916,893.2
10/07/2022,917.9,17866,924,939.8,912.5
10/06/2022,921.8,14576,919.5,932.2,916.9
10/05/2022,914.6,21233,940,940,903.1
10/04/2022,933.7,25353,900.5,941.2,899.6
10/03/2022,900.1,20534,856.8,903.8,856.2
09/30/2022,859.1,13225,859.1,875.8,852.1
09/29/2022,860.2,20828,863,868.4,840.6
09/28/2022,860.8,21981,840.3,865,827.3
09/27/2022,839.7,12387,844.1,858,838
09/26/2022,844.9,13472,850.7,864.2,841.8
09/23/2022,856.5,14069,898.2,902.4,850.6
09/22/2022,899,9171,907.8,912,891
09/21/2022,911.7,8581,916.2,934.3,904.5
09/20/2022,914.5,6826,919.1,927.3,910.9
09/19/2022,912.6,4248,903.1,919.9,891.2
09/16/2022,901,19071,901.4,907.7,880.5
09/15/2022,903.7,20343,903.1,919.1,896.9
09/14/2022,905.4,20277,875.9,911.1,873.4
09/13/2022,883.7,28089,903.3,914.7,873.4
09/12/2022,904.2,21243,873,905.5,866.9
09/09/2022,876.9,16512,868.8,882.6,865.8
09/08/2022,866.4,21705,855.1,874.1,847.2
09/07/2022,847.2,16957,837.2,855.6,826.2
09/06/2022,833.9,24310,820.4,846.4,813.5
09/02/2022,818.3,19719,807.6,827.2,804.9
09/01/2022,805.5,24526,828.2,828.4,796.8
08/31/2022,827,15868,832.6,841.9,822.3
08/30/2022,832.1,17247,855,856,830
08/29/2022,854.3,15889,852,861.7,835.3
08/26/2022,855.3,16069,874.9,876.9,850.9
08/25/2022,873.9,10887,868.8,879,865.4
08/24/2022,866.8,14912,875,879.1,858.2
08/23/2022,876.4,15909,867.7,883.9,856.6
08/22/2022,868,18908,889.6,892.7,855.6
08/19/2022,888,15950,907.5,907.5,878.3
08/18/2022,904.9,14762,921.4,928.7,903.2
08/17/2022,919.3,13832,933,939,914.8
08/16/2022,931.3,13445,933.5,942,921
08/15/2022,933.6,17398,964,966,919.5
08/12/2022,963.4,12336,957.1,963.6,944.4
08/11/2022,959.4,18494,942.5,974.6,941.3
08/10/2022,946.1,11580,934,949.5,924.9
08/09/2022,933,9805,940,944.1,929.8
08/08/2022,938.4,13054,926,948.8,918.5
08/05/2022,924.7,16657,924,941.4,917.1
08/04/2022,924.9,17927,891,929,887.8
08/03/2022,888.5,12181,890.4,896.4,880.5
08/02/2022,905,16076,902.8,915,890.5
08/01/2022,901.6,15466,889.1,911,883.1
07/29/2022,889.8,14779,881.2,899.5,877
07/28/2022,876.8,14057,880.8,890,868.3
07/27/2022,877.2,11788,863.4,883.9,860.3
07/26/2022,864.4,11166,869.6,881.4,858.5
07/25/2022,869.3,10815,865,874.8,853.6
07/22/2022,867.2,11681,862.1,878.1,857.5
07/21/2022,858.7,13925,841.8,864.4,831.1
07/20/2022,846.5,11314,862.4,871,841
07/19/2022,858.9,11818,851.5,872.3,842.6
07/18/2022,856,13907,833.8,863.7,830.7
07/15/2022,830.9,11050,823.8,834.4,814.1
07/14/2022,817.3,15569,835.2,836.1,806.7
07/13/2022,837.8,16188,825.8,842.1,815.8
07/12/2022,828.1,16173,859,859,825.8
07/11/2022,860.7,13621,884.6,885.4,856.9
07/08/2022,882.8,15667,863.8,891.6,854.6
07/07/2022,865.8,15138,842.8,869.1,836.7
07/06/2022,840.9,16965,853.1,856.4,832
07/05/2022,850.7,26293,878.3,878.7,837.6
07/01/2022,871.3,21861,884.6,890.2,850.1
06/30/2022,895.3,20596,911.4,918.1,879.2
06/29/2022,909.9,15737,906.8,933,905.2
06/28/2022,905.6,18022,899.9,923.3,898.1
06/27/2022,900.3,15304,904.7,911.9,888.1
06/24/2022,903.3,14001,902.5,917.4,900.2
06/23/2022,903.7,12096,927,928.7,902.6
06/22/2022,926.1,9171,940.1,940.1,921.4
06/21/2022,939.4,7781,931.4,954.7,925
06/17/2022,930.8,3001,949.7,951.7,928.7
06/16/2022,951.3,5680,937.5,952.4,920.6
06/15/2022,925.5,4764,914.9,949.6,913.5
06/14/2022,913.2,6084,929.8,941.7,910.8
06/13/2022,935.4,4661,974.3,975.6,927
06/10/2022,971,17367,971.8,976.9,952.8
06/09/2022,975.9,19485,1008.6,1010.1,969.4
06/08/2022,1011.6,15084,1014.2,1016.8,998.7
06/07/2022,1012.9,17967,1021.7,1023,1002
06/06/2022,1030,17928,1018.8,1038.3,1017.7
06/03/2022,1016.4,17272,1023.3,1037.1,1011.4
06/02/2022,1028.4,20715,996,1029.2,988.3
06/01/2022,996.4,29513,962,1007.5,958.3
05/31/2022,968.3,19726,949.2,971,940.5
05/27/2022,943,10898,937.6,946.7,934.2
05/26/2022,937.4,9731,934.5,939,924
05/25/2022,929.3,12413,943.7,946.8,922.4
05/24/2022,942.9,11607,949.7,957,936.4
05/23/2022,950.3,12168,948.7,971.7,947.1
05/20/2022,941.1,11593,953.7,961,938.1
05/19/2022,953.7,17419,922.8,958.3,908
05/18/2022,924.4,12603,942.7,957.3,918.6
05/17/2022,943.4,12319,927.8,950.1,923.2
05/16/2022,925.3,11725,932.1,940.8,916.8
05/13/2022,930.7,12312,932.3,952.2,922.7
05/12/2022,931.4,21716,985.5,987.4,929.3
05/11/2022,989.8,22930,945.7,991.7,942.8
05/10/2022,947.2,16826,936.6,970.1,930.5
05/09/2022,938.5,16426,949.8,949.8,912.9
05/06/2022,956,15422,973.1,974.7,941
05/05/2022,973.4,17108,983,993.1,960.2
05/04/2022,979.6,16063,958.2,987,957.2
05/03/2022,958.6,15065,930.9,966.3,929.7
05/02/2022,932.8,13879,933.6,937.4,908.8
04/29/2022,939.6,16844,911.3,942.4,907.6
04/28/2022,911.1,14574,910.3,927.3,900.5
04/27/2022,910.4,19080,913.9,930,895.4
04/26/2022,912.1,16459,911.7,921.5,901.7
04/25/2022,905,24115,924,927.9,901.4
04/22/2022,927.4,27098,967.7,969,923
04/21/2022,967.8,12410,987.6,991.3,965
04/20/2022,987,10965,991.3,993.2,973
04/19/2022,988.7,17545,1017,1026.4,982.3
04/18/2022,1020.5,12361,995,1024.9,991.2
04/14/2022,994.2,10785,989,996,972.2
04/13/2022,989.6,11993,968.3,991,966.4
04/12/2022,972.4,13245,980.4,987.5,960.5
04/11/2022,977.8,11202,976.3,997,973.7
04/08/2022,975.6,14318,962.8,988.7,959
04/07/2022,958,13827,954.1,965,941.4
04/06/2022,953.1,17602,970.1,975.3,950
04/05/2022,973.1,14003,990.7,992.4,968
04/04/2022,991,11136,989.3,1002,983.6
04/01/2022,988.6,12917,987.1,1004.2,985.7
03/31/2022,995.8,12497,998.6,1000.6,982.1
03/30/2022,1001.2,15068,986.2,1009,984.4
03/29/2022,978.8,21468,989.4,993.2,957.4
03/28/2022,993.8,13040,1010.3,1011.2,984.7
03/25/2022,1010.7,9502,1032,1039.9,1004.9
03/24/2022,1033.7,8361,1028.8,1041.9,1017
03/23/2022,1023.3,5822,1029,1035.3,1017.6
03/22/2022,1026.6,4567,1042.5,1049.3,1018.1
03/21/2022,1045.3,6019,1031.5,1049.9,1026
03/18/2022,1035.9,12791,1027.9,1043.8,1025
03/17/2022,1031.3,14097,1019.4,1035.5,1013.2
03/16/2022,1008.1,21469,990.8,1023.4,983.7
03/15/2022,1002.5,27664,1042.1,1045,981.2
03/14/2022,1052.3,21606,1090,1100,1037.9
03/11/2022,1088.6,15965,1084,1099.7,1066.9
03/10/2022,1095.2,19840,1101.6,1116.7,1080.1
03/09/2022,1107.6,37336,1165.1,1197,1088.2
03/08/2022,1153.2,36895,1126.2,1193.5,1120
03/07/2022,1116.6,31263,1126,1162.4,1106
03/04/2022,1116.8,23770,1081.2,1129.3,1071.8
03/03/2022,1080.8,20516,1074.2,1095.5,1069.7
03/02/2022,1068,16770,1059.3,1078,1051.7
03/01/2022,1051.9,19126,1046.7,1066.5,1041
02/28/2022,1038.7,17143,1074.8,1078.6,1034.4
02/25/2022,1050.1,16120,1060.3,1067.2,1045.6
02/24/2022,1062.1,37149,1095,1132,1040
02/23/2022,1091.7,15230,1078.8,1096.9,1078.5
02/22/2022,1086,21746,1075.1,1095.9,1069.8
02/18/2022,1076.8,24098,1090.7,1100.4,1066.5
02/17/2022,1092.7,23840,1063.4,1096.2,1057.8
02/16/2022,1063.7,23578,1025.2,1067.8,1021.4
02/15/2022,1020.4,19560,1029,1035,1005.5
02/14/2022,1028,16609,1027.2,1044.3,1020.6
02/11/2022,1018.7,21336,1026.3,1037.2,1008
02/10/2022,1042.5,21767,1034.5,1058.6,1016
02/09/2022,1037.4,13827,1033.7,1043.7,1023.2
02/08/2022,1036.3,15535,1020.7,1037.4,1004
02/07/2022,1020,12704,1026.4,1031.1,1009.8
02/04/2022,1024.2,17472,1035.7,1039.5,1012
02/03/2022,1030.3,16462,1036.2,1041.5,1020.8
02/02/2022,1043.7,12776,1030,1047.6,1025.8
02/01/2022,1023.2,15921,1021,1048.6,1018.8
01/31/2022,1020.8,11495,1010.1,1024.4,1007.4
01/28/2022,1006.6,17294,1025.5,1031.2,991.1
01/27/2022,1021.8,16175,1034.7,1039.3,1012.4
01/26/2022,1045.9,24587,1027.6,1064.6,1024.4
01/25/2022,1025.5,13711,1028.9,1034.2,1006.9
01/24/2022,1020.3,16842,1034,1041.8,1003.2
01/21/2022,1035.1,16919,1043.2,1054,1028.4
01/20/2022,1050.8,23605,1025.7,1057.5,1017.5
01/19/2022,1028.4,29032,979,1035.5,970.1
01/18/2022,979.5,19657,966.2,987,959.6
01/14/2022,964.6,10619,968.4,981,963.5
01/13/2022,972.2,10623,976.8,977.7,961.3
01/12/2022,980.1,13024,969.4,983,961.5
01/11/2022,973.2,19778,936.3,975,935.1
01/10/2022,933.6,17604,958.1,961.4,919.5
01/07/2022,956.5,12232,966,972.2,947.7
01/06/2022,960.7,17460,983.8,987.7,952
