Date,Close/Last,Volume,Open,High,Low
10/27/2022,16.345,1100,16.395,16.455,16.28
10/26/2022,16.37,1123,16.545,16.55,16.335
10/25/2022,16.53,825,16.56,16.625,16.53
10/24/2022,16.575,1461,16.68,16.775,16.56
10/21/2022,16.36,811,16.45,16.5,16.25
10/20/2022,16.45,1136,16.5,16.525,16.435
10/19/2022,16.485,366,16.55,16.555,16.475
10/18/2022,16.54,1122,16.655,16.67,16.5
10/17/2022,16.67,489,16.73,16.765,16.655
10/14/2022,16.735,486,16.76,16.805,16.72
10/13/2022,16.76,432,16.81,16.83,16.72
10/12/2022,16.81,861,16.73,16.88,16.695
10/11/2022,16.72,1366,16.73,16.76,16.685
10/10/2022,16.715,1147,16.825,16.915,16.705
10/07/2022,16.825,654,16.915,16.915,16.81
10/06/2022,16.89,668,16.985,16.995,16.87
10/05/2022,16.97,608,16.96,17.045,16.905
10/04/2022,16.965,720,16.93,17.025,16.91
10/03/2022,16.935,1064,17.155,17.25,16.92
09/30/2022,17.17,553,17.325,17.42,17.16
09/29/2022,17.35,372,17.395,17.47,17.315
09/28/2022,17.36,255,17.305,17.38,17.27
09/27/2022,17.315,306,17.35,17.55,17.265
09/26/2022,17.35,548,17.375,17.39,17.19
09/23/2022,17.38,411,17.395,17.42,17.36
09/22/2022,17.385,389,17.605,17.62,17.325
09/21/2022,17.625,258,17.72,17.78,17.54
09/20/2022,17.725,193,17.615,17.795,17.615
09/19/2022,17.635,251,17.79,17.815,17.575
09/16/2022,17.825,330,17.79,17.875,17.65
09/15/2022,17.82,385,17.715,17.945,17.63
09/14/2022,17.8,390,17.785,17.89,17.67
09/13/2022,17.785,375,17.695,17.835,17.605
09/12/2022,17.7,468,17.585,17.76,17.39
09/09/2022,17.585,335,17.195,17.67,17.195
09/08/2022,17.24,391,17.085,17.27,17
09/07/2022,17.055,928,17.23,17.23,16.97
09/06/2022,17.13,635,17.6,17.815,17.08
09/02/2022,17.665,362,17.635,17.94,17.635
09/01/2022,17.675,689,17.87,17.95,17.585
08/31/2022,17.84,629,17.715,17.955,17.715
08/30/2022,17.79,953,17.65,17.85,17.54
08/29/2022,17.645,1184,17.6,17.675,16.85
08/26/2022,17.665,762,17.435,17.68,17.435
08/25/2022,17.53,1010,17.565,17.68,17.435
08/24/2022,17.605,1484,17.585,17.82,17.55
08/23/2022,17.29,1213,17.14,17.33,17.14
08/22/2022,17.125,733,16.99,17.225,16.99
08/19/2022,17.085,889,16.585,17.14,16.585
08/18/2022,16.555,1651,16.66,16.69,16.495
08/17/2022,16.665,843,16.885,16.885,16.66
08/16/2022,16.9,279,17.03,17.11,16.885
08/15/2022,17.075,302,17.175,17.18,16.95
08/12/2022,17.155,282,17.06,17.19,16.96
08/11/2022,17.08,314,16.985,17.195,16.985
08/10/2022,16.945,304,16.975,17.055,16.85
08/09/2022,17,215,17.13,17.24,16.975
08/08/2022,17.195,622,17.21,17.29,17.02
08/05/2022,17.34,611,17.255,17.455,17.21
08/04/2022,17.325,703,17.045,17.35,17.005
08/03/2022,17.06,423,16.81,17.08,16.68
08/02/2022,16.775,473,16.665,16.86,16.65
08/01/2022,16.66,742,16.875,16.915,16.63
07/29/2022,16.885,706,17.01,17.12,16.885
07/28/2022,17.02,411,17.005,17.07,16.94
07/27/2022,17.085,232,17.03,17.16,17.03
07/26/2022,17.095,373,16.905,17.19,16.885
07/25/2022,16.93,302,16.76,16.97,16.76
07/22/2022,16.865,216,16.95,17.01,16.795
07/21/2022,16.985,303,16.84,17.03,16.81
07/20/2022,16.945,593,17.12,17.225,16.76
07/19/2022,17.16,891,16.97,17.29,16.955
07/18/2022,17.07,1110,16.625,17.305,16.56
07/15/2022,16.525,375,16.395,16.6,16.36
07/14/2022,16.4,199,16.41,16.465,16.325
07/13/2022,16.425,115,16.44,16.515,16.325
07/12/2022,16.45,279,16.455,16.625,16.305
07/11/2022,16.535,230,16.47,16.6,16.41
07/08/2022,16.455,279,16.355,16.5,16.28
07/07/2022,16.385,466,16.08,16.4,16.08
07/06/2022,16.18,600,16.11,16.225,16.05
07/05/2022,16.11,998,16.4,16.475,16.1
07/01/2022,16.42,436,16.7,16.81,16.38
06/30/2022,16.745,285,16.75,16.82,16.63
06/29/2022,16.8,611,16.65,16.92,16.575
06/28/2022,16.58,515,16.4,16.695,16.38
06/27/2022,16.445,595,16.51,16.605,16.41
06/24/2022,16.41,435,16.415,16.525,16.37
