Date,Close/Last,Volume,Open,High,Low
10/27/2022,1393.5,115649,1392.75,1405,1389
10/26/2022,1393,116929,1391.75,1409,1388.75
10/25/2022,1392.25,91171,1381.25,1396.5,1375.5
10/24/2022,1381.25,93674,1402.75,1402.75,1377.75
10/21/2022,1404.5,65646,1398.75,1407.25,1383.75
10/20/2022,1391.5,106792,1371,1396.5,1370.25
10/19/2022,1372.5,90981,1371.75,1378.5,1357
10/18/2022,1372,121553,1383,1390,1364.25
10/17/2022,1385.25,97668,1381.5,1395,1376.25
10/14/2022,1383.75,109356,1394,1410,1382.75
10/13/2022,1395.75,129216,1394.5,1405,1378.75
10/12/2022,1396,187786,1373,1414,1367.5
10/11/2022,1376.25,105788,1373.25,1385.25,1365.25
10/10/2022,1374,159465,1367,1398.75,1366.5
10/07/2022,1367,121041,1358,1373.5,1350.75
10/06/2022,1358,96721,1369.5,1376.75,1350
10/05/2022,1369.75,91697,1382.75,1385.25,1362.5
10/04/2022,1383.5,100970,1373.75,1395,1371.75
10/03/2022,1374,108114,1364,1376.5,1361.25
09/30/2022,1364.75,169311,1410.5,1425.75,1363.25
09/29/2022,1410.75,141653,1408.75,1423.75,1403.25
09/28/2022,1408.75,132048,1409,1412.5,1390.75
09/27/2022,1408,128928,1411.25,1437.25,1407
09/26/2022,1411.25,112504,1424.5,1433.75,1408.25
09/23/2022,1425.75,106541,1455,1456,1420.5
09/22/2022,1457,101713,1456.5,1476,1448.75
09/21/2022,1461.25,85775,1476.5,1488.75,1459.5
09/20/2022,1478.75,95117,1461.75,1485.5,1450.75
09/19/2022,1461.25,77068,1446,1465.75,1438.25
09/16/2022,1448.5,78542,1449,1455,1433.75
09/15/2022,1451.5,94862,1456,1468.5,1444
09/14/2022,1455,105624,1475,1489.5,1453.5
09/13/2022,1478.75,130410,1486.5,1508.75,1475.75
09/12/2022,1488.25,152450,1409,1490.25,1402.25
09/09/2022,1412.25,69070,1388.25,1415.75,1387.25
09/08/2022,1386,78000,1384,1397.25,1373
09/07/2022,1383.5,115318,1398.5,1432.25,1380.75
09/06/2022,1398.75,87791,1415,1423,1392.25
09/02/2022,1420.5,62488,1395,1422,1391.75
09/01/2022,1394.75,84872,1420,1433,1390
08/31/2022,1422.5,73231,1432,1442.5,1416
08/30/2022,1432.5,77197,1437.75,1440,1408.25
08/29/2022,1437.75,90679,1458,1460.75,1432
08/26/2022,1461.25,91098,1430,1464.75,1426.5
08/25/2022,1431.25,105574,1456.75,1467,1428.5
08/24/2022,1457,117345,1461.5,1484.5,1447.5
08/23/2022,1461,129042,1435.5,1474.75,1431.25
08/22/2022,1435.25,99705,1398,1438.5,1393
08/19/2022,1404,61817,1405.75,1410,1386.25
08/18/2022,1405.25,78880,1390,1413,1376.5
08/17/2022,1390,65687,1382.5,1400,1379
08/16/2022,1381,89157,1409,1413.75,1376
08/15/2022,1412.25,109132,1441.75,1443.75,1386
08/12/2022,1454.25,115513,1448,1464.75,1415.25
08/11/2022,1448.5,79107,1425.5,1453.75,1418.25
08/10/2022,1427.75,95836,1428.5,1454.75,1422
08/09/2022,1428.75,87042,1410,1438.5,1408.75
08/08/2022,1400,68905,1398.5,1421,1391.25
08/05/2022,1408.75,95921,1416,1428.75,1392.75
08/04/2022,1417.75,102349,1368.75,1424,1359.5
08/03/2022,1369.75,91722,1375.75,1406.25,1356
08/02/2022,1386.5,103448,1396.75,1408,1377.25
08/01/2022,1406,120483,1477.5,1481,1395.5
07/29/2022,1468.5,117007,1440.5,1489,1435.5
07/28/2022,1440.5,94901,1413.25,1446.75,1412.5
07/27/2022,1410,106093,1383,1416.5,1371.75
07/26/2022,1383.75,96433,1359.75,1387.5,1358.25
07/25/2022,1346,83955,1335,1349.25,1314.5
07/22/2022,1315.75,89871,1303.5,1333,1288.5
07/21/2022,1301.5,87342,1334,1341.75,1294.75
07/20/2022,1332.25,80049,1354,1356.25,1327.75
07/19/2022,1358.25,88986,1382.25,1383.5,1339
07/18/2022,1380.25,78029,1355.75,1393,1340.75
07/15/2022,1342.25,64994,1348.75,1358.5,1330.5
07/14/2022,1341,89126,1351.5,1365.5,1317.75
07/13/2022,1349.5,87009,1341,1362.25,1315.75
07/12/2022,1343,101614,1405,1418,1339.25
07/11/2022,1405,86798,1420.75,1437.75,1400.75
07/08/2022,1396.5,78066,1369,1398.75,1357.75
07/07/2022,1365.5,91881,1326.5,1372.75,1325.25
07/06/2022,1322.75,110181,1326.5,1340,1302.5
07/05/2022,1316,126240,1373.75,1374.5,1304
07/01/2022,1395.25,121683,1462.25,1470.75,1391.25
06/30/2022,1458,122527,1478.25,1507.75,1451.5
06/29/2022,1478.25,68107,1461,1480.5,1449.75
06/28/2022,1462.5,83535,1439.25,1468.75,1436
06/27/2022,1432.75,79437,1406,1441.25,1400.5
06/24/2022,1424.25,92191,1411.5,1433,1399.25
06/23/2022,1415.5,127634,1477.75,1478.5,1409.25
06/22/2022,1476.5,89224,1514,1515.25,1470
06/21/2022,1510.5,74757,1529,1529.75,1506
06/17/2022,1537.5,59451,1547,1556.75,1536.5
06/16/2022,1543.25,46339,1527,1549.5,1520.5
06/15/2022,1523.5,58427,1525,1535.5,1518
06/14/2022,1525.25,59741,1532,1544.25,1523.5
06/13/2022,1533.75,81473,1569,1574,1516.25
06/10/2022,1568.25,73128,1581.75,1584.25,1558.75
06/09/2022,1582.25,101350,1568,1584.75,1553
06/08/2022,1568,83578,1549.25,1573,1546
06/07/2022,1549.75,76949,1533.25,1554,1528.25
06/06/2022,1699.25,69366,1709,1717.75,1690
06/03/2022,1697.75,80566,1728.75,1730.5,1694
06/02/2022,1729.25,99858,1690.25,1740.75,1681.25
06/01/2022,1690.25,91146,1687.25,1706.5,1675.25
05/31/2022,1683.25,130571,1737.75,1749.25,1673.75
05/27/2022,1732.25,84453,1725.75,1744.25,1718.75
05/26/2022,1726.5,131960,1675.25,1737,1667.25
05/25/2022,1681,75331,1694.25,1697.75,1665.5
05/24/2022,1693,66764,1687.75,1696.75,1673.5
05/23/2022,1687,80717,1706,1720,1685
05/20/2022,1705.25,83449,1691,1710.75,1683.25
05/19/2022,1690.5,91429,1663.75,1697,1660.75
05/18/2022,1662.75,81536,1678,1686.75,1657
05/17/2022,1678,70555,1655,1684.25,1645.25
05/16/2022,1656.5,58680,1657.5,1668,1650.25
05/13/2022,1646.5,75469,1614.75,1651.5,1614
05/12/2022,1613.75,83773,1607.5,1627.25,1590.25
05/11/2022,1606.75,64553,1593.5,1615,1587.5
05/10/2022,1592.25,62305,1589,1605,1580.5
05/09/2022,1585.25,85288,1623.75,1626,1578
05/06/2022,1622,68223,1649.5,1650,1618
05/05/2022,1647,75601,1643,1667,1640
05/04/2022,1640.5,65880,1633.5,1644.5,1622
05/03/2022,1630.5,70754,1649.5,1662.75,1629
05/02/2022,1645.25,86782,1684.5,1688.75,1635
04/29/2022,1685,63973,1686,1704.75,1679.25
04/28/2022,1684.75,70975,1694.25,1700,1681.25
04/27/2022,1692.75,110107,1673.25,1698,1665.5
04/26/2022,1671.75,102701,1676.75,1696.75,1661.75
04/25/2022,1675.25,101148,1687,1695.5,1656.5
04/22/2022,1688,105659,1719,1734,1676
04/21/2022,1719.5,94504,1717,1726.25,1704.75
04/20/2022,1717,86791,1693.5,1721.75,1688.25
04/19/2022,1691.75,75619,1691.75,1705.75,1682
04/18/2022,1693.25,69387,1672.5,1700,1669
04/14/2022,1665.25,72854,1665,1679.5,1656
04/13/2022,1665,88123,1661.5,1668,1643.5
04/12/2022,1670.25,78430,1658.75,1682.75,1657
04/11/2022,1655.25,91900,1691,1697.5,1651.5
04/08/2022,1689,89537,1647.75,1689.75,1645.5
04/07/2022,1645.5,92161,1620,1652.75,1614.75
04/06/2022,1619.5,61686,1630,1643,1615
04/05/2022,1631,57127,1605,1635.25,1604.25
04/04/2022,1602.25,63835,1584,1606,1576.75
04/01/2022,1582.75,90031,1620.75,1628.5,1580.75
03/31/2022,1618.25,84829,1666.75,1680,1613.5
03/30/2022,1664,58228,1644,1683.75,1638.75
03/29/2022,1643,95367,1662.5,1673,1622
03/28/2022,1664.25,67994,1703,1710,1661
03/25/2022,1710.25,55859,1702,1714.25,1684.75
03/24/2022,1700.75,65589,1722.25,1730,1697.5
03/23/2022,1718.75,68241,1695.5,1736.5,1691
03/22/2022,1696.5,66603,1692.75,1720.75,1686
03/21/2022,1691,70070,1673,1710,1666.75
03/18/2022,1668,57695,1669.75,1689,1651.5
03/17/2022,1668.5,56533,1649.25,1677.5,1647.25
03/16/2022,1649.25,57399,1661,1681.25,1645.25
03/15/2022,1658.75,59885,1674,1674,1638
03/14/2022,1670.5,66922,1692,1697.75,1667
03/11/2022,1676,75327,1689.25,1695.75,1665.25
03/10/2022,1686.25,98508,1675.5,1702,1661.5
03/09/2022,1671.75,109256,1693,1734,1669.5
03/08/2022,1689.75,104142,1660,1706.5,1649.75
03/07/2022,1659.5,74740,1686.75,1696.75,1654.5
03/04/2022,1660.5,85923,1673.75,1688.5,1634.5
03/03/2022,1667.75,94001,1669.75,1699,1665.5
03/02/2022,1663,103770,1694,1697,1650.25
03/01/2022,1690,102220,1641.5,1697.5,1641.5
02/28/2022,1636.75,108501,1629.5,1655,1613
02/25/2022,1584.5,165004,1654,1670,1579
02/24/2022,1654,223063,1671,1759.25,1648.25
02/23/2022,1671,160050,1636.25,1675,1636
02/22/2022,1635,149313,1610.25,1641,1603.5
02/18/2022,1603.5,90996,1594,1611,1590
02/17/2022,1596,84486,1589,1609.75,1579.75
02/16/2022,1591.25,75869,1557.25,1593.25,1551.5
02/15/2022,1555.75,94973,1573.25,1581,1546.25
02/14/2022,1574,82004,1589.75,1602.5,1555.75
02/11/2022,1586.25,100482,1575.25,1597.25,1566.5
02/10/2022,1574.25,233387,1594.75,1633,1565.5
02/09/2022,1594.75,166249,1570.5,1599.5,1566.5
02/08/2022,1569,155533,1585,1586.5,1559
02/07/2022,1581.75,164609,1571,1589.5,1565.25
02/04/2022,1553.5,103323,1544.5,1560.25,1532
02/03/2022,1544.25,121283,1544,1560,1529
02/02/2022,1545.25,163803,1528,1564,1526
02/01/2022,1528.5,151466,1490,1539,1485
01/31/2022,1490.5,102394,1474,1496.75,1473.5
01/28/2022,1470,138246,1446.5,1479,1441.5
01/27/2022,1448.25,130143,1436,1456.5,1428.5
01/26/2022,1440,128703,1405.75,1443.75,1393.75
01/25/2022,1407.25,98181,1405,1413.75,1393.25
01/24/2022,1403,123810,1419.5,1423.75,1382.5
01/21/2022,1414.25,95691,1420,1426,1405.25
01/20/2022,1425.75,140145,1388.25,1429.5,1387.5
01/19/2022,1391.25,89997,1363.5,1392.5,1363.5
01/18/2022,1361.25,109316,1360,1368.75,1349.75
01/14/2022,1369.75,77151,1376.75,1380,1363.75
01/13/2022,1377.25,99751,1399,1399,1370.75
01/12/2022,1399.25,107715,1384.75,1401,1366.5
01/11/2022,1386.5,85659,1386.5,1395,1372.5
01/10/2022,1384.75,112113,1404.5,1409.75,1379
01/07/2022,1410.25,120430,1388,1415,1376
01/06/2022,1387.25,93247,1390.5,1393.75,1370
01/05/2022,1394.75,88024,1389,1399,1381.5
01/04/2022,1389.75,113392,1356,1392.25,1355.5
01/03/2022,1355.5,85814,1349,1368.5,1342
12/31/2021,1339.25,55569,1339.25,1348.5,1336.5
12/30/2021,1338.5,100236,1367.5,1370,1334.5
12/29/2021,1368.75,108159,1367.25,1372.5,1355
12/28/2021,1368,100765,1370,1384.5,1363.25
12/27/2021,1371.5,100200,1345.75,1372.75,1342.5
12/23/2021,1340.75,86521,1333,1342.5,1328
12/22/2021,1335,88448,1310.5,1339,1309.5
12/21/2021,1312.75,94964,1294.5,1317.5,1289
12/20/2021,1294.75,68772,1292,1298,1280.5
12/17/2021,1288.5,98174,1277.25,1298.25,1276
12/16/2021,1278.25,90002,1264,1281.5,1261.5
12/15/2021,1265.25,72214,1265,1270,1254
12/14/2021,1264.5,73155,1252.25,1271.75,1243.5
12/13/2021,1250.75,69146,1277.5,1277.5,1250
12/10/2021,1274.25,76527,1272,1284,1267.25
12/09/2021,1272.25,71691,1268,1275,1255.25
12/08/2021,1261,103006,1252.25,1264,1238.25
12/07/2021,1250.25,149787,1262.25,1268.5,1243
12/06/2021,1261.5,64763,1271.75,1274.75,1254.5
12/03/2021,1267.25,82745,1244.5,1270,1244.25
12/02/2021,1244.25,83932,1229.75,1249,1221
12/01/2021,1228.25,95207,1222,1237,1216.25
11/30/2021,1217.25,114770,1241.5,1244.75,1214.25
11/29/2021,1241.5,72415,1260.75,1268.5,1240.75
11/26/2021,1252.75,80994,1252,1254,1240.25
11/24/2021,1266.5,63373,1273.75,1281,1263.25
11/23/2021,1273,58212,1274.25,1279.25,1263
11/22/2021,1274.25,62701,1264.25,1279.5,1260
11/19/2021,1263.25,73923,1265.5,1277.25,1257
11/18/2021,1265.25,96765,1276.5,1287.25,1262.75
11/17/2021,1277,138466,1252,1289.25,1250.75
11/16/2021,1251.25,70997,1255.75,1261.5,1248.5
11/15/2021,1257.25,86804,1242.25,1259.75,1238
11/12/2021,1244.25,99083,1221.5,1249.75,1220.5
11/11/2021,1221.5,69534,1216.75,1228.25,1212
11/10/2021,1216.75,81424,1212,1222.5,1208.5
11/09/2021,1212,138833,1187.75,1240.75,1181.25
11/08/2021,1188.5,99872,1203.75,1208.25,1187
11/05/2021,1205.5,85142,1223,1227,1203.5
11/04/2021,1222.75,102702,1243.75,1247.5,1216
11/03/2021,1244.25,73707,1254.25,1257.75,1239.5
11/02/2021,1256.25,82186,1247.75,1261,1243.25
11/01/2021,1248.5,81226,1249,1259.5,1236.75
10/29/2021,1249.5,79379,1244,1255.5,1241.5
10/28/2021,1246,127383,1249.75,1260,1241.25
10/27/2021,1249.75,161496,1246.5,1266.25,1236
10/26/2021,1247.5,83549,1246.25,1255.75,1239.5
10/25/2021,1247,95475,1230,1248.25,1226.5
10/22/2021,1230.75,75418,1233.5,1240.5,1227
10/21/2021,1224,88495,1243.25,1249.5,1222
10/20/2021,1245.5,115529,1227.75,1249.5,1224.75
10/19/2021,1228,121950,1220.5,1239.25,1216.25
10/18/2021,1221.5,84047,1218,1225.25,1210
10/15/2021,1217.75,101424,1205.75,1221,1202
10/14/2021,1206.25,112312,1196,1207.75,1193.5
10/13/2021,1195.25,166838,1198.5,1211.25,1184.5
10/12/2021,1198.25,161718,1226.5,1230.75,1194.75
10/11/2021,1228.25,92209,1240.5,1251.25,1227
10/08/2021,1243,123107,1246.5,1262.5,1242
10/07/2021,1247.25,104838,1242,1249.5,1233.5
10/06/2021,1242,75264,1250,1255.5,1239.25
10/05/2021,1250.5,100326,1234.25,1256.25,1231
10/04/2021,1235.75,99290,1242.75,1247.75,1235
10/01/2021,1246.5,104869,1255,1262.25,1242
09/30/2021,1256,185669,1282,1295,1249
09/29/2021,1283.75,68190,1276.25,1288.5,1272.75
09/28/2021,1277,73808,1286.75,1287,1275
09/27/2021,1287.5,79774,1284,1297,1282
09/24/2021,1285,59522,1283.25,1290,1278.25
09/23/2021,1284.25,64341,1282.5,1290.25,1275.75
09/22/2021,1282.75,67633,1274.5,1285,1270.25
09/21/2021,1274,72507,1263,1275.5,1257.5
09/20/2021,1262.5,84166,1285,1286,1262
09/17/2021,1284,66131,1295.5,1298.5,1278.25
09/16/2021,1296,70644,1296.5,1308,1291.25
09/15/2021,1294.5,82489,1283.5,1296,1276
09/14/2021,1282.5,65074,1285.75,1297.5,1281
09/13/2021,1284.75,59366,1290,1294.25,1277
09/10/2021,1286.5,131495,1270.75,1300,1262.75
09/09/2021,1270.5,73407,1280,1281.75,1265
09/08/2021,1279.5,80429,1279,1288,1272
09/07/2021,1277,66609,1291.75,1305.75,1276.5
09/03/2021,1292,63754,1282.75,1296.75,1276.75
09/02/2021,1283.25,81543,1278,1287.75,1271
09/01/2021,1277.75,99894,1294,1295.75,1270
08/31/2021,1292.5,98903,1305.25,1312,1283.25
08/30/2021,1303.25,98919,1323.25,1336.25,1297
08/27/2021,1323.25,71601,1324,1325,1307.5
08/26/2021,1326.25,73358,1331,1331.5,1318
08/25/2021,1332.75,84276,1332,1339.5,1322
08/24/2021,1331.75,113212,1299,1337.75,1292
08/23/2021,1292.75,87911,1288.5,1309,1286.5
08/20/2021,1290.75,115130,1321,1333.5,1277.25
08/19/2021,1320,106669,1351.75,1351.75,1314.25
08/18/2021,1353.25,63663,1362.25,1365,1347.25
08/17/2021,1361.5,82823,1374,1379.75,1356.75
08/16/2021,1368.25,72717,1366.25,1378,1360.75
08/13/2021,1365,103704,1340.75,1366,1330
08/12/2021,1341,156142,1339,1369.5,1323
08/11/2021,1340,81028,1336.5,1355.5,1333.75
08/10/2021,1336.75,58152,1325.5,1343.5,1325.25
08/09/2021,1329.75,71643,1338.25,1347.25,1326.5
08/06/2021,1336.75,62707,1329,1342.5,1323.25
08/05/2021,1328.5,71942,1326.25,1339.5,1315
08/04/2021,1325.75,85460,1322.25,1329.75,1314
08/03/2021,1319.75,110594,1345.75,1348,1308.75
08/02/2021,1353.5,71442,1349,1359,1336.5
07/30/2021,1349.25,72277,1378.75,1380.75,1343
07/29/2021,1377.75,63366,1361,1379.5,1357
07/28/2021,1361,69214,1364.75,1371,1350.5
07/27/2021,1359.5,85627,1365,1387.5,1355.5
07/26/2021,1357.75,85843,1356,1360.75,1332
07/23/2021,1351.75,75558,1367.75,1368,1345.25
07/22/2021,1362.25,118073,1390.5,1390.75,1342.25
07/21/2021,1389.75,77224,1393.25,1397,1375
07/20/2021,1388.5,98185,1378.75,1406.25,1373.75
07/19/2021,1372.75,95226,1412.75,1418,1370.5
07/16/2021,1391.75,84721,1382,1408.5,1377
07/15/2021,1380,71039,1383,1389.5,1374.25
07/14/2021,1383.25,90315,1351.75,1385.75,1343.25
07/13/2021,1351.75,73901,1350.5,1365.5,1347.25
07/12/2021,1350.25,85537,1329.75,1354.75,1327
07/09/2021,1329.25,76998,1321.5,1333,1309.25
07/08/2021,1319.5,76020,1336.75,1339.5,1311.5
07/07/2021,1327.25,104841,1313,1346,1309.25
07/06/2021,1305,124468,1373.25,1373.25,1300.5
07/02/2021,1399,80061,1395,1414.75,1382.5
07/01/2021,1395.5,119435,1402.5,1423,1376
06/30/2021,1399,148491,1312.25,1408,1291.5
06/29/2021,1310.25,79395,1325.25,1327,1298
06/28/2021,1312.5,94655,1269.75,1319,1267
06/25/2021,1269.75,108519,1290.75,1304.5,1259.75
06/24/2021,1291.75,103723,1298.75,1299.75,1261.75
06/23/2021,1300.25,78840,1300.25,1311.75,1293.75
06/22/2021,1302.25,91864,1322.5,1329,1297
06/21/2021,1319.25,90536,1288,1324.25,1280
06/18/2021,1313,132232,1252.75,1321.25,1252.75
06/17/2021,1252.75,143218,1335.25,1341,1240.5
06/16/2021,1343.25,70113,1378,1381.25,1338.5
06/15/2021,1373.5,78744,1405.75,1410,1365
06/14/2021,1395.25,80505,1430,1430.5,1381.25
06/11/2021,1438.75,103246,1459.5,1443.5,1428.75
06/10/2021,1459.5,100445,1448.25,1464.75,1438.25
06/09/2021,1448.25,88798,1460.75,1463.5,1428.5
06/08/2021,1457,97090,1450.25,1466,1442
06/07/2021,1440,95267,1454,1456.75,1437.25
06/04/2021,1435.5,54973,1402,1438.75,1401.75
06/03/2021,1403.5,58837,1416.5,1438.75,1397.75
06/02/2021,1562.5,80525,1546,1567.75,1541.75
06/01/2021,1548.5,88690,1542,1578.5,1537.25
05/28/2021,1530.5,67133,1532,1534.25,1528
05/27/2021,1537,78172,1534.75,1539.25,1534.25
05/26/2021,1503.5,92778,1512.5,1525.5,1489.25
05/25/2021,1511.75,89611,1505.25,1513.5,1503.25
05/24/2021,1522.75,72125,1520.75,1525.75,1506.25
05/21/2021,1526.25,77727,1534,1540.75,1512.25
05/20/2021,1533.25,68504,1547,1553.75,1523
05/19/2021,1538.25,111375,1576,1576.25,1522
05/18/2021,1574.25,90095,1588.25,1604.75,1569
05/17/2021,1587.5,76971,1584.75,1603.25,1575.5
05/14/2021,1586.25,93559,1583.5,1612.75,1577
05/13/2021,1584,145498,1587,1587.75,1581.75
05/12/2021,1642.5,138244,1617.75,1667.5,1615.25
05/11/2021,1614.75,110666,1621,1625.5,1611
05/10/2021,1587.5,87206,1590,1593.75,1582.25
05/07/2021,1589.75,100830,1566.25,1599.5,1562.25
05/06/2021,1569.5,107006,1566.5,1571,1566.5
05/05/2021,1542.25,82566,1540,1554,1532.25
05/04/2021,1538.25,87675,1535.25,1539.5,1533.75
05/03/2021,1524,101971,1549.25,1563.5,1515.75
04/30/2021,1534.25,103364,1501.25,1537,1491.25
04/29/2021,1502.25,117976,1508,1526.25,1500
04/28/2021,1513.75,184054,1515.5,1544.5,1490.5
04/27/2021,1519.5,190420,1541.5,1574.75,1518
04/26/2021,1539.25,157587,1524,1544.75,1515
04/23/2021,1516,133863,1514.25,1525.5,1498.75
04/22/2021,1514.25,155417,1513.5,1515.25,1512.5
04/21/2021,1479.5,122497,1460,1481.75,1453
04/20/2021,1457.75,118124,1435.75,1471.5,1435.75
04/19/2021,1436.5,88790,1430,1441.75,1423.5
04/16/2021,1422.5,94924,1410.5,1430,1410.5
04/15/2021,1411,75552,1409.75,1410,1409.5
04/14/2021,1402.25,84994,1386.5,1408.75,1382.75
04/13/2021,1389.5,101377,1385.25,1398.75,1378
04/12/2021,1382,116588,1403.25,1407.25,1379.5
04/09/2021,1403,98871,1415.5,1418.5,1400.75
04/08/2021,1415.25,82243,1408.75,1422.5,1404.5
04/07/2021,1408.75,75218,1420.5,1427.5,1403.75
04/06/2021,1418.75,63753,1412.75,1431,1412.5
04/05/2021,1412.75,56177,1410,1421,1405.25
04/01/2021,1402,156618,1444,1456.25,1398.5
03/31/2021,1436.75,119342,1368.75,1436.75,1364.75
03/30/2021,1366.75,85143,1393,1394.75,1364.25
03/29/2021,1393,90046,1400.5,1402.75,1383
03/26/2021,1400.5,93202,1414,1419,1399
03/25/2021,1414.25,95512,1430.75,1431.75,1410.5
03/24/2021,1432.75,71361,1421.75,1433.5,1418.25
